category,path,exists,size_mb,included,description,note
data,data/processed/feature_table_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07.parquet,True,2743.8936052322388,False,Feature table with labels before split metadata.,excluded large artifact
data,data/processed/model_dataset_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07,True,2479.9600868225098,False,Model dataset with chronological split metadata.,excluded large artifact
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_aggregate.csv,True,0.0023479461669921875,True,Final-test aggregate metrics.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_class_proportions.csv,True,0.0022878646850585938,True,Final-test true and predicted class proportions.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_confusion_counts.csv,True,0.005869865417480469,True,Final-test confusion counts.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_confusion_true_normalized.csv,True,0.006493568420410156,True,Final-test row-normalized confusion matrices.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_daily_blocks.csv,True,0.005091667175292969,True,Daily final-test stability metrics.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_logistic_coefficients.csv,True,0.008089065551757812,True,Frozen full-model coefficients.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_majority_fit_summary.csv,True,0.000438690185546875,True,Train-fitted majority classes.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_nonzero_subset.csv,True,0.0010814666748046875,True,Final-test nonzero subset metrics.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_per_class.csv,True,0.0029916763305664062,True,Final-test per-class metrics.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_regime_aggregate.csv,True,0.06866741180419922,True,Train-median regime aggregate metrics.,small CSV
small_result,outputs/results/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_regime_nonzero_subset.csv,True,0.054184913635253906,True,Train-median regime nonzero metrics.,small CSV
small_report,outputs/reports/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_frozen_thresholds.csv,True,0.0009822845458984375,True,Frozen validation-selected thresholds.,small CSV
small_report,outputs/reports/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_full_vs_baselines_deltas.csv,True,0.0014257431030273438,True,Final-test deltas versus baselines.,small CSV
small_report,outputs/reports/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_ranking.csv,True,0.0024290084838867188,True,Final-test model ranking.,small CSV
small_report,outputs/reports/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_signal_decay.csv,True,0.0011663436889648438,True,Final-test performance by prediction horizon.,small CSV
small_report,outputs/reports/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_thresholded_deltas.csv,True,0.0021114349365234375,True,Thresholded model deltas.,small CSV
small_report,outputs/reports/final_test_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_regime_thresholds.csv,True,0.001129150390625,True,Train-median regime cutoffs.,small CSV
diagnostic_data,outputs/results/compact_test_predictions_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07.parquet,True,1160.886752128601,False,Compact test-only probabilities and hard predictions.,excluded row-level parquet
small_report,outputs/reports/compact_test_predictions_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_summary.csv,True,0.0013628005981445312,True,Summary of compact test prediction file.,small CSV
small_report,outputs/reports/feature_summary_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07.csv,True,0.0011243820190429688,True,Feature completeness and distribution summary.,small CSV
small_report,outputs/reports/label_distribution_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07.csv,True,0.0003223419189453125,True,Full-sample label distribution.,small CSV
small_report,outputs/reports/split_summary_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07.csv,True,0.0009298324584960938,True,Chronological split boundaries and row counts.,small CSV
small_report,outputs/reports/target_diagnostics_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07.csv,True,0.001434326171875,True,Split-specific target distributions.,small CSV
audit,outputs/reports/research_audit/BTCUSDT_2024-03-01_to_2024-03-07_v3_fixed_window_features/audit_summary.json,True,0.005137443542480469,True,Machine-readable audit summary.,small JSON
audit,outputs/reports/research_audit/BTCUSDT_2024-03-01_to_2024-03-07_v3_fixed_window_features/final_audit_conclusion.csv,True,0.001056671142578125,True,One-row audit conclusion.,small CSV
plot,outputs/reports/plots/plot_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_target_drift.png,True,0.057552337646484375,True,Target Drift plot.,small PNG
plot,outputs/reports/plots/plot_v3_fixed_window_features_BTCUSDT_2024-03-01_to_2024-03-07_horizon_performance.png,True,0.07567024230957031,True,Horizon Performance plot.,small PNG
