feature,missing_count,missing_fraction,min,max,mean,std
relative_spread,0,0.0,4.421458470460493e-07,0.00823285523802042,2.708908141357824e-06,1.7935131836566143e-05
queue_imbalance,0,0.0,-0.9999955892562866,0.9999967217445374,0.007304758299142122,0.3878735899925232
log_bid_size,0,0.0,0.0009995002765208483,6.577317237854004,1.190645694732666,0.8102526068687439
log_ask_size,0,0.0,0.0009995002765208483,6.699008941650391,1.1813591718673706,0.8127273917198181
delta_bid_size,1,4.4836377151678125e-09,-716.97998046875,715.4130249023438,2.8413579045150072e-08,1.047376275062561
delta_ask_size,1,4.4836377151678125e-09,-809.1510009765625,810.5560302734375,3.283100227235991e-07,0.8682568669319153
mid_return_5,5,2.2418188575839063e-08,-0.006152763861852151,0.007218574097231922,1.9850804656930548e-09,1.3052413459265944e-05
realized_vol_20,20,8.967275430335625e-08,0.0,0.006938566814743897,5.189214947479212e-06,2.6886166047423864e-05
trade_intensity_1s,0,0.0,0.0,4172.0,45.235681004151914,81.47530972056474
signed_trade_count_imbalance_1s,0,0.0,-1.0,1.0,-0.00020231350208632648,0.3522866666316986
signed_trade_volume_imbalance_1s,0,0.0,-1.0,1.0,0.0051833209581673145,0.3878735899925232
